source,target
148953,1
140306,1
138867,1
137428,1
140319,1
138879,1
140322,1
137445,1
137446,1
138887,1
140328,1
137451,1
136015,1
136017,1
140341,1
143225,1
143226,1
144665,1
146103,1
148980,1
153279,1
171900,1
169016,4
151714,4
148834,4
148834,18
141629,4
138747,4
132986,4
122909,4
121476,4
120026,4
99856,4
217938,18
222258,18
253921,20
256797,20
261106,20
262546,20
262543,20
266860,20
265416,20
266840,20
269718,20
272598,20
275480,20
279800,20
278357,20
281233,20
281231,20
284104,20
289864,20
291303,20
304255,9
304255,20
318654,20
333038,23
345995,23
353198,23
364720,23
367600,23
369040,23
376233,23
348842,23
347385,14
461188,14
464072,14
464081,14
366165,23
374810,23
379142,23
412249,14
412296,25
412301,25
415188,25
415189,25
418069,25
418070,25
419513,25
439677,14
243868,1
243868,18
243870,1
243870,20
248176,9
248176,20
456955,14
458395,25
448285,14
446841,14
464098,14
455462,14
454024,14
451160,14
458384,14
526127,1
592407,19
649988,2
655739,2
655735,2
665807,11
673006,2
681646,2
719062,1
719062,2
719062,11
719056,2
719056,11
707518,11
714724,11
717607,11
717607,19
719049,11
737770,11
742072,11
765100,11
782371,11
793897,11
802530,11
815485,11
834207,11
815529,1
815529,8
815529,11
815529,16
815529,19
819802,11
821240,11
824117,11
824117,12
825557,12
826997,12
826997,16
815470,16
779469,16
763626,16
760747,16
757869,16
747787,16
731948,16
729068,16
711794,16
708914,16
690195,16
681556,7
681556,16
674357,16
651319,12
638360,12
645560,12
634040,12
623959,12
619635,12
616752,12
587933,12
587932,12
587932,14
587932,29
586492,12
585052,12
582170,12
580730,12
576408,12
570646,12
557681,12
547596,12
543275,12
523118,3
523118,12
523118,14
523118,29
466962,3
466962,7
466962,12
466962,14
466962,29
461181,5
433791,29
384775,5
360271,5
378999,5
355940,5
334334,5
331452,5
330012,5
328566,5
325687,5
324249,5
324248,5
322807,5
321364,5
319923,5
319922,5
319921,5
315598,5
314157,5
306953,5
305513,5
305512,5
302631,5
299751,5
296868,5
291105,5
282464,5
272383,5
269503,5
268063,5
266624,5
265184,5
262304,5
260864,5
259424,5
250784,5
252225,5
247904,5
247904,6
242142,5
239262,5
239262,6
240707,5
239269,5
237829,5
239270,5
236390,5
234948,5
233508,5
233507,5
230622,5
229179,5
234944,5
234945,5
236388,5
236387,5
239267,5
237823,5
234941,5
236378,5
236378,6
234937,5
226290,5
226291,5
226291,6
226293,5
226292,5
217648,5
206119,5
206119,6
204679,5
203239,5
207552,5
200354,5
200354,6
198915,5
198914,5
198913,5
193151,5
197471,5
197471,6
201789,5
200349,5
198908,5
197468,5
197466,5
196025,5
190269,5
190269,6
190265,5
191703,5
194582,5
188819,5
188819,6
185936,5
183055,5
183055,6
183059,5
183059,6
187381,5
187381,6
187380,5
187380,6
183062,5
183061,5
181619,5
174402,5
174402,6
168618,5
168618,6
165735,5
165735,6
171489,6
171488,6
171483,5
171483,6
175793,6
175794,6
174355,6
184431,5
184431,6
185871,5
188748,6
188747,6
190184,6
185863,5
185863,6
185865,6
184428,6
182988,6
193047,6
195923,6
198798,5
198798,6
200238,6
200239,5
200239,6
200232,6
200231,5
200231,6
200230,6
204549,5
204549,6
205977,5
205977,6
208854,6
208853,6
207414,6
217464,6
218894,6
223198,6
220311,6
215977,6
188680,6
185850,6
182971,6
180093,6
149837,5
68458,1
68463,1
64128,1
117481,1
114600,1
111720,1
113165,1
110277,1
110270,1
110265,1
113137,1
111695,1
111689,1
114570,1
116014,1
114572,1
117436,1
118873,1
120312,1
121747,1
123182,1
123180,1
127493,1
126055,1
126056,1
126057,1
126059,1
126060,1
123186,1
126065,1
126063,1
130380,1
130378,1
133255,1
139011,1
137575,1
139010,1
141889,1
144766,1
151966,1
151964,1
153400,1
154832,1
156268,1
159143,1
159145,1
162021,1
163461,1
167781,1
169220,1
170662,1
170661,1
172103,1
173541,1
174982,1
173543,1
176422,1
174981,1
177861,1
177862,1
179303,1
182185,1
