cell,lon,lat,FG
268523,-9.375,43.375,1
267085,-8.875,43.625,1
118865,16.125,69.375,1
144624,-24.125,64.875,1
265646,-8.625,43.875,1
306057,14.125,36.875,1
277214,3.375,41.875,1
274283,-9.375,42.375,1
134569,-17.875,66.625,1
280206,31.375,41.375,1
308862,-4.625,36.375,1
275723,-9.375,42.125,1
108834,28.375,71.125,1
180762,10.375,58.625,1
293041,0.125,39.125,1
283076,28.875,40.875,1
118864,15.875,69.375,1
265719,9.625,43.875,1
267160,9.875,43.625,1
182184,5.875,58.375,1
183643,10.625,58.125,1
297444,20.875,38.375,1
284457,14.125,40.625,1
307498,14.375,36.625,1
271402,-9.625,42.875,1
306056,13.875,36.875,1
264278,9.375,44.125,1
180761,10.125,58.625,1
356339,-15.375,28.125,1
277163,-9.375,41.875,1
118863,15.625,69.375,1
306048,11.875,36.875,1
269962,-9.625,43.125,1
182203,10.625,58.375,1
287320,9.875,40.125,1
306049,12.125,36.875,1
182183,5.625,58.375,1
183642,10.375,58.125,1
308863,-4.375,36.375,1
298863,15.625,38.125,1
108835,28.625,71.125,1
308929,12.125,36.375,1
108830,27.375,71.125,1
288730,2.375,39.875,1
108825,26.125,71.125,1
267084,-9.125,43.625,1
283014,13.375,40.875,1
304614,13.375,37.125,1
307487,11.625,36.625,1
267108,-3.125,43.625,1
297323,-9.375,38.375,1
108833,28.125,71.125,1
283071,27.625,40.875,1
264207,-8.375,44.125,1
283013,13.125,40.875,1
264208,-8.125,44.125,1
307488,11.875,36.625,1
180759,9.625,58.625,1
267106,-3.625,43.625,1
108826,26.375,71.125,1
298852,12.875,38.125,1
182202,10.375,58.375,1
281530,2.375,41.125,1
300204,-9.125,37.875,1
264206,-8.625,44.125,1
284363,-9.375,40.625,1
267107,-3.375,43.625,1
293110,17.375,39.125,1
306089,22.125,36.875,1
290122,-9.625,39.625,1
304613,13.125,37.125,1
136006,-18.625,66.375,1
329180,34.875,32.875,1
272842,-9.625,42.625,1
180760,9.875,58.625,1
113129,22.125,70.375,1
277215,3.625,41.875,1
307502,15.375,36.625,1
185071,7.625,57.875,1
136005,-18.875,66.375,1
288731,2.625,39.875,1
134568,-18.125,66.625,1
307489,12.125,36.625,1
277247,11.625,41.875,1
283015,13.625,40.875,1
146204,10.875,64.625,1
120299,14.625,69.125,1
305964,-9.125,36.875,1
108836,28.875,71.125,1
183626,6.375,58.125,1
301644,-9.125,37.625,1
267151,7.625,43.625,1
183641,10.125,58.125,1
290169,2.125,39.625,1
182197,9.125,58.375,1
267109,-2.875,43.625,1
108829,27.125,71.125,1
295881,-9.875,38.625,1
264209,-7.875,44.125,1
265658,-5.625,43.875,1
280044,-9.125,41.375,1
288682,-9.625,39.875,1
264210,-7.625,44.125,1
117427,16.625,69.625,1
307491,12.625,36.625,1
291562,-9.625,39.375,1
280092,2.875,41.375,1
298884,20.875,38.125,1
118862,15.375,69.375,1
268600,9.875,43.375,1
301729,12.125,37.625,1
293051,2.625,39.125,1
293045,1.125,39.125,1
108828,26.875,71.125,1
311812,12.875,35.875,1
293042,0.375,39.125,1
265645,-8.875,43.875,1
274335,3.625,42.375,1
310368,11.875,36.125,1
267152,7.875,43.625,1
136010,-17.625,66.375,1
268599,9.625,43.375,1
183623,5.625,58.125,1
278603,-9.375,41.625,1
267159,9.625,43.625,1
300240,-0.125,37.875,1
304607,11.625,37.125,1
313251,12.625,35.625,1
264277,9.125,44.125,1
205157,-10.875,54.375,1
310369,12.125,36.125,1
308994,28.375,36.375,1
136003,-19.375,66.375,1
136004,-19.125,66.375,1
282967,1.625,40.875,1
180742,5.375,58.625,1
206596,-11.125,54.125,1
267105,-3.875,43.625,1
308930,12.375,36.375,1
186514,8.375,57.625,1
311811,12.625,35.875,1
356333,-16.875,28.125,1
183640,9.875,58.125,1
285802,-9.625,40.375,1
208035,-11.375,53.875,1
134689,12.125,66.625,1
303117,-0.875,37.375,1
291601,0.125,39.375,1
117426,16.375,69.625,1
280093,3.125,41.375,1
285882,10.375,40.375,1
186513,8.125,57.625,1
297423,15.625,38.375,1
272896,3.875,42.625,1
287242,-9.625,40.125,1
183622,5.375,58.125,1
311871,27.625,35.875,1
267112,-2.125,43.625,1
146062,-24.625,64.625,1
313252,12.875,35.625,1
308938,14.375,36.375,1
354899,-15.375,28.375,1
310300,-5.125,36.125,1
186512,7.875,57.625,1
264205,-8.875,44.125,1
183624,5.875,58.125,1
303116,-1.125,37.375,1
294440,-10.125,38.875,1
294586,26.375,38.875,1
297322,-9.625,38.375,1
303167,11.625,37.375,1
293000,-10.125,39.125,1
272919,9.625,42.625,1
291561,-9.875,39.375,1
265659,-5.375,43.875,1
267110,-2.625,43.625,1
265718,9.375,43.875,1
264211,-7.375,44.125,1
313301,25.125,35.625,1
293048,1.875,39.125,1
307407,-8.375,36.625,1
306055,13.625,36.875,1
357783,-14.375,27.875,1
307496,13.875,36.625,1
294483,0.625,38.875,1
306053,13.125,36.875,1
291609,2.125,39.375,1
185072,7.875,57.875,1
297464,25.875,38.375,1
272920,9.875,42.625,1
146202,10.375,64.625,1
186507,6.625,57.625,1
182182,5.375,58.375,1
296025,26.125,38.625,1
264232,-2.125,44.125,1
304606,11.375,37.125,1
310426,26.375,36.125,1
306047,11.625,36.875,1
149080,9.875,64.125,1
307495,13.625,36.625,1
303207,21.625,37.375,1
282923,-9.375,40.875,1
186511,7.625,57.625,1
183625,6.125,58.125,1
307492,12.875,36.625,1
288681,-9.875,39.875,1
205156,-11.125,54.375,1
185070,7.375,57.875,1
288760,9.875,39.875,1
185068,6.875,57.875,1
282968,1.875,40.875,1
268522,-9.625,43.375,1
293046,1.375,39.125,1
303224,25.875,37.375,1
314695,13.625,35.375,1
304622,15.375,37.125,1
186508,6.875,57.625,1
301727,11.625,37.625,1
169189,-2.875,60.625,1
284516,28.875,40.625,1
357782,-14.625,27.875,1
185077,9.125,57.875,1
278688,11.875,41.625,1
185064,5.875,57.875,1
294488,1.875,38.875,1
110279,29.625,70.875,1
298855,13.625,38.125,1
274363,10.625,42.375,1
186506,6.375,57.625,1
292999,-10.375,39.125,1
186510,7.375,57.625,1
424013,-16.875,16.375,1
134564,-19.125,66.625,1
307494,13.375,36.625,1
300288,11.875,37.875,1
265657,-5.875,43.875,1
313258,14.375,35.625,1
310373,13.125,36.125,1
294484,0.875,38.875,1
291704,25.875,39.375,1
185066,6.375,57.875,1
185065,6.125,57.875,1
287241,-9.875,40.125,1
153383,5.625,63.375,1
154822,5.375,63.125,1
118867,16.625,69.375,1
186509,7.125,57.625,1
308991,27.625,36.375,1
185067,6.625,57.875,1
281571,12.625,41.125,1
298764,-9.125,38.125,1
293050,2.375,39.125,1
150518,9.375,63.875,1
298851,12.625,38.125,1
310378,14.375,36.125,1
310370,12.375,36.125,1
304524,-9.125,37.125,1
293072,7.875,39.125,1
303084,-9.125,37.375,1
306054,13.375,36.875,1
290229,17.125,39.625,1
331853,-16.875,32.375,1
310374,13.375,36.125,1
275802,10.375,42.125,1
291632,7.875,39.375,1
146063,-24.375,64.625,1
134563,-19.375,66.625,1
185069,7.125,57.875,1
154720,-20.125,63.125,1
137568,11.875,66.125,1
298850,12.375,38.125,1
307405,-8.875,36.625,1
267083,-9.375,43.625,1
120298,14.375,69.125,1
267104,-4.125,43.625,1
183621,5.125,58.125,1
278655,3.625,41.625,1
271480,9.875,42.875,1
270040,9.875,43.125,1
316139,14.625,35.125,1
307408,-8.125,36.625,1
167750,-2.625,60.875,1
272897,4.125,42.625,1
265672,-2.125,43.875,1
274393,18.125,42.375,1
308937,14.125,36.375,1
284456,13.875,40.625,1
134570,-17.625,66.625,1
307490,12.375,36.625,1
313296,23.875,35.625,1
310306,-3.625,36.125,1
356343,-14.375,28.125,1
301643,-9.375,37.625,1
131666,-23.625,67.125,1
143323,10.625,65.125,1
183636,8.875,58.125,1
313302,25.375,35.625,1
290228,16.875,39.625,1
170627,-3.375,60.375,1
185073,8.125,57.875,1
262792,-2.125,44.375,1
134567,-18.375,66.625,1
283072,27.875,40.875,1
301779,24.625,37.625,1
301680,-0.125,37.625,1
167751,-2.375,60.875,1
296018,24.375,38.625,1
133104,-24.125,66.875,1
281483,-9.375,41.125,1
294513,8.125,38.875,1
182198,9.375,58.375,1
134688,11.875,66.625,1
308935,13.625,36.375,1
118861,15.125,69.375,1
291694,23.375,39.375,1
265660,-5.125,43.875,1
133102,-24.625,66.875,1
290193,8.125,39.625,1
131669,-22.875,67.125,1
117431,17.625,69.625,1
294491,2.625,38.875,1
294550,17.375,38.875,1
294585,26.125,38.875,1
300341,25.125,37.875,1
303165,11.125,37.375,1
300348,26.875,37.875,1
316138,14.375,35.125,1
298802,0.375,38.125,1
313255,13.625,35.625,1
134541,-24.875,66.625,1
185076,8.875,57.875,1
174980,4.875,59.625,1
295924,0.875,38.625,1
164851,-7.375,61.375,1
120306,16.375,69.125,1
183620,4.875,58.125,1
307493,13.125,36.625,1
308936,13.875,36.375,1
418254,-16.625,17.375,1
176420,4.875,59.375,1
310371,12.625,36.125,1
242610,-7.625,47.875,1
294439,-10.375,38.875,1
154821,5.125,63.125,1
131670,-22.625,67.125,1
303166,11.375,37.375,1
357772,-17.125,27.875,1
147641,10.125,64.375,1
308933,13.125,36.375,1
110249,22.125,70.875,1
331854,-16.625,32.375,1
134566,-18.625,66.625,1
110280,29.875,70.875,1
261352,-2.125,44.625,1
267111,-2.375,43.625,1
115988,16.875,69.875,1
305970,-7.625,36.875,1
313253,13.125,35.625,1
297413,13.125,38.375,1
313254,13.375,35.625,1
290162,0.375,39.625,1
183639,9.625,58.125,1
274362,10.375,42.375,1
140348,-13.125,65.625,1
307406,-8.625,36.625,1
295923,0.625,38.625,1
274388,16.875,42.375,1
308854,-6.625,36.375,1
301726,11.375,37.625,1
146201,10.125,64.625,1
357774,-16.625,27.875,1
319095,33.625,34.625,1
313297,24.125,35.625,1
297396,8.875,38.375,1
151944,5.875,63.625,1
298763,-9.375,38.125,1
298849,12.125,38.125,1
303206,21.375,37.375,1
154721,-19.875,63.125,1
164850,-7.625,61.375,1
311822,15.375,35.875,1
246938,-5.625,47.125,1
303219,24.625,37.375,1
205158,-10.625,54.375,1
303217,24.125,37.375,1
170626,-3.625,60.375,1
300287,11.625,37.875,1
313295,23.625,35.625,1
274392,17.875,42.375,1
300347,26.625,37.875,1
137567,11.625,66.125,1
167732,-7.125,60.875,1
149079,9.625,64.125,1
172100,4.875,60.125,1
179300,4.875,58.875,1
294544,15.875,38.875,1
172044,-9.125,60.125,1
118866,16.375,69.375,1
294493,3.125,38.875,1
275722,-9.625,42.125,1
107393,28.125,71.375,1
271479,9.625,42.875,1
293049,2.125,39.125,1
311817,14.125,35.875,1
265644,-9.125,43.875,1
305971,-7.375,36.875,1
422573,-16.875,16.625,1
275804,10.875,42.125,1
280199,29.625,41.375,1
183619,4.625,58.125,1
306062,15.375,36.875,1
291560,-10.125,39.375,1
290235,18.625,39.625,1
288796,18.875,39.875,1
291703,25.625,39.375,1
300203,-9.375,37.875,1
425453,-16.875,16.125,1
148937,-25.875,64.125,1
296019,24.625,38.625,1
356346,-13.625,28.125,1
310377,14.125,36.125,1
280094,3.375,41.375,1
297414,13.375,38.375,1
147497,-25.875,64.375,1
294518,9.375,38.875,1
300345,26.125,37.875,1
303218,24.375,37.375,1
330412,-17.125,32.625,1
298904,25.875,38.125,1
296023,25.625,38.625,1
308992,27.875,36.375,1
285899,14.625,40.375,1
148936,-26.125,64.125,1
357771,-17.375,27.875,1
146061,-24.875,64.625,1
117425,16.125,69.625,1
307543,25.625,36.625,1
310425,26.125,36.125,1
209475,-11.375,53.625,1
300286,11.375,37.875,1
356340,-15.125,28.125,1
133128,-18.125,66.875,1
357780,-15.125,27.875,1
314697,14.125,35.375,1
281596,18.875,41.125,1
275803,10.625,42.125,1
153272,-22.125,63.375,1
206595,-11.375,54.125,1
314696,13.875,35.375,1
323342,15.375,33.875,1
167778,4.375,60.875,1
164898,4.375,61.375,1
354898,-15.625,28.375,1
170604,-9.125,60.375,1
297363,0.625,38.375,1
280129,12.125,41.375,1
133127,-18.375,66.875,1
164891,2.625,61.375,1
163447,1.625,61.625,1
149076,8.875,64.125,1
182181,5.125,58.375,1
170605,-8.875,60.375,1
314698,14.375,35.375,1
164848,-8.125,61.375,1
172063,-4.375,60.125,1
170625,-3.875,60.375,1
421100,-25.125,16.875,1
359217,-15.875,27.625,1
442730,-17.625,13.125,1
164849,-7.875,61.375,1
308864,-4.125,36.375,1
285851,2.625,40.375,1
284512,27.875,40.625,1
311814,13.375,35.875,1
107384,25.875,71.375,1
163451,2.625,61.625,1
134572,-17.125,66.625,1
288753,8.125,39.875,1
134565,-18.875,66.625,1
169218,4.375,60.625,1
267082,-9.625,43.625,1
169188,-3.125,60.625,1
208034,-11.625,53.875,1
294492,2.875,38.875,1
133125,-18.875,66.875,1
274282,-9.625,42.375,1
277162,-9.625,41.875,1
357777,-15.875,27.875,1
170658,4.375,60.375,1
140349,-12.875,65.625,1
275834,18.375,42.125,1
111687,21.625,70.625,1
297458,24.375,38.375,1
298762,-9.625,38.125,1
285944,25.875,40.375,1
357785,-13.875,27.875,1
167748,-3.125,60.875,1
169173,-6.875,60.625,1
154725,-18.875,63.125,1
95857,24.125,73.375,1
131673,-21.875,67.125,1
303182,15.375,37.375,1
314694,13.375,35.375,1
320535,33.625,34.375,1
296022,25.375,38.625,1
441290,-17.625,13.375,1
163409,-7.875,61.625,1
319090,32.375,34.625,1
147496,-26.125,64.375,1
316136,13.875,35.125,1
166331,2.625,61.125,1
288815,23.625,39.875,1
115987,16.625,69.875,1
298848,11.875,38.125,1
308931,12.625,36.375,1
271459,4.625,42.875,1
314700,14.875,35.375,1
297462,25.375,38.375,1
245495,-6.375,47.375,1
136127,11.625,66.375,1
296021,25.125,38.625,1
311813,13.125,35.875,1
147495,-26.375,64.375,1
154726,-18.625,63.125,1
153270,-22.625,63.375,1
314701,15.125,35.375,1
242609,-7.875,47.875,1
133250,12.375,66.875,1
185074,8.375,57.875,1
307531,22.625,36.625,1
295928,1.875,38.625,1
135979,-25.375,66.375,1
307431,-2.375,36.625,1
164890,2.375,61.375,1
294512,7.875,38.875,1
131665,-23.875,67.125,1
296020,24.875,38.625,1
316137,14.125,35.125,1
153271,-22.375,63.375,1
357784,-14.125,27.875,1
117424,15.875,69.625,1
310375,13.625,36.125,1
352027,-13.375,28.875,1
353466,-13.625,28.625,1
164893,3.125,61.375,1
281591,17.625,41.125,1
200812,-17.125,55.125,1
290179,4.625,39.625,1
172045,-8.875,60.125,1
307409,-7.875,36.625,1
357781,-14.875,27.875,1
313262,15.375,35.625,1
185002,-9.625,57.875,1
274390,17.375,42.375,1
298839,9.625,38.125,1
284442,10.375,40.625,1
298837,9.125,38.125,1
131671,-22.375,67.125,1
107383,25.625,71.375,1
140350,-12.625,65.625,1
274389,17.125,42.375,1
313256,13.875,35.625,1
107392,27.875,71.375,1
166292,-7.125,61.125,1
317577,14.125,34.875,1
153268,-23.125,63.375,1
163450,2.375,61.625,1
147552,-12.125,64.375,1
166339,4.625,61.125,1
298899,24.625,38.125,1
107394,28.375,71.375,1
317579,14.625,34.875,1
307412,-7.125,36.625,1
314699,14.625,35.375,1
293054,3.375,39.125,1
133136,-16.125,66.875,1
172099,4.625,60.125,1
305994,-1.625,36.875,1
290178,4.375,39.625,1
356341,-14.875,28.125,1
283036,18.875,40.875,1
356342,-14.625,28.125,1
310418,24.375,36.125,1
131672,-22.125,67.125,1
308866,-3.625,36.375,1
306104,25.875,36.875,1
267081,-9.875,43.625,1
173486,-8.625,59.875,1
297366,1.375,38.375,1
131674,-21.625,67.125,1
357773,-16.875,27.875,1
259911,-2.375,44.875,1
173540,4.875,59.875,1
419694,-16.625,17.125,1
308865,-3.875,36.375,1
166291,-7.375,61.125,1
300277,9.125,37.875,1
275828,16.875,42.125,1
167749,-2.875,60.875,1
290254,23.375,39.625,1
270039,9.625,43.125,1
170659,4.625,60.375,1
108837,29.125,71.125,1
419693,-16.875,17.125,1
323341,15.125,33.875,1
301765,21.125,37.625,1
290163,0.625,39.625,1
131667,-23.375,67.125,1
269960,-10.125,43.125,1
311852,22.875,35.875,1
173485,-8.875,59.875,1
271400,-10.125,42.875,1
297364,0.875,38.375,1
203717,-10.875,54.625,1
281554,8.375,41.125,1
310376,13.875,36.125,1
172094,3.375,60.125,1
294494,3.375,38.875,1
244050,-7.625,47.625,1
297460,24.875,38.375,1
301780,24.875,37.625,1
416814,-16.625,17.625,1
267153,8.125,43.625,1
306108,26.875,36.875,1
267101,-4.875,43.625,1
295983,15.625,38.625,1
164892,2.875,61.375,1
280043,-9.375,41.375,1
354906,-13.625,28.375,1
297459,24.625,38.375,1
359223,-14.375,27.625,1
311737,-5.875,35.875,1
274391,17.625,42.375,1
268521,-9.875,43.375,1
313264,15.875,35.625,1
320538,34.375,34.375,1
277241,10.125,41.875,1
308934,13.375,36.375,1
169214,3.375,60.625,1
127497,14.125,67.875,1
313298,24.375,35.625,1
249821,-4.875,46.625,1
303118,-0.625,37.375,1
285801,-9.875,40.375,1
107388,26.875,71.375,1
297365,1.125,38.375,1
131668,-23.125,67.125,1
311855,23.625,35.875,1
295931,2.625,38.625,1
288816,23.875,39.875,1
200813,-16.875,55.125,1
137464,-14.125,66.125,1
186442,-9.625,57.625,1
138906,-13.625,65.875,1
294580,24.875,38.875,1
310372,12.875,36.125,1
153267,-23.375,63.375,1
262769,-7.875,44.375,1
154715,-21.375,63.125,1
303216,23.875,37.375,1
271460,4.875,42.875,1
268520,-10.125,43.375,1
183562,-9.625,58.125,1
359222,-14.625,27.625,1
297397,9.125,38.375,1
294562,20.375,38.875,1
107385,26.125,71.375,1
173539,4.625,59.875,1
285881,10.125,40.375,1
149073,8.125,64.125,1
310415,23.625,36.125,1
310416,23.875,36.125,1
303164,10.875,37.375,1
277246,11.375,41.875,1
138908,-13.125,65.875,1
295880,-10.125,38.625,1
284441,10.125,40.625,1
284475,18.625,40.625,1
297395,8.625,38.375,1
313257,14.125,35.625,1
248378,-5.625,46.875,1
294578,24.375,38.875,1
297428,16.875,38.375,1
172098,4.375,60.125,1
185075,8.625,57.875,1
170654,3.375,60.375,1
170614,-6.625,60.375,1
173481,-9.875,59.875,1
290258,24.375,39.625,1
278602,-9.625,41.625,1
248379,-5.375,46.875,1
275721,-9.875,42.125,1
284453,13.125,40.625,1
320536,33.875,34.375,1
143234,-11.625,65.125,1
138907,-13.375,65.875,1
300280,9.875,37.875,1
173484,-9.125,59.875,1
146113,-11.875,64.625,1
156158,-20.625,62.875,1
281570,12.375,41.125,1
383692,-17.125,23.375,1
295954,8.375,38.625,1
294533,13.125,38.875,1
141793,-11.875,65.375,1
310305,-3.875,36.125,1
314744,25.875,35.375,1
331855,-16.375,32.375,1
311815,13.625,35.875,1
295956,8.875,38.625,1
307497,14.125,36.625,1
354907,-13.375,28.375,1
300285,11.125,37.875,1
316140,14.875,35.125,1
163457,4.125,61.625,1
291702,25.375,39.375,1
134540,-25.125,66.625,1
294489,2.125,38.875,1
310417,24.125,36.125,1
283073,28.125,40.875,1
297367,1.625,38.375,1
301725,11.125,37.625,1
149074,8.375,64.125,1
232516,-11.125,49.625,1
320537,34.125,34.375,1
298836,8.875,38.125,1
303225,26.125,37.375,1
359224,-14.125,27.625,1
278806,41.375,41.625,1
331852,-17.125,32.375,1
295973,13.125,38.625,1
113124,20.875,70.375,1
156157,-20.875,62.875,1
95858,24.375,73.375,1
314702,15.375,35.375,1
287291,2.625,40.125,1
290259,24.625,39.625,1
147640,9.875,64.375,1
173488,-8.125,59.875,1
295988,16.875,38.625,1
134571,-17.375,66.625,1
298840,9.875,38.125,1
